Name,Beds,Baths,Price:,Deposit,Waitlist,Available Units,Size (sq feet),Link,Apartment,Image
Pearl S - 2 Bed - 2 Bath B,2,2,"$1,144 - $1,209",0,0,3,"1,062 - 1,064",https://www.theblockwestcampus.com//Brochure/Pearl-S---2-Bed---2-Bath-B?siteId=6511284&fId=9218520,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760956/640x640/67760956.png
23rd - 2 Bed - 2 Bath B,2,2,"$1,154",0,0,1,"1,064",https://www.theblockwestcampus.com//Brochure/23rd---2-Bed---2-Bath-B?siteId=6511284&fId=9218388,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67759456/640x640/67759456.png
Pearl N - 2 Bed - 2 Bath B,2,2,"$1,169 - $1,194",0,0,3,"1,062 - 1,064",https://www.theblockwestcampus.com//Brochure/Pearl-N---2-Bed---2-Bath-B?siteId=6511284&fId=9218504,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760883/640x640/67760883.png
25th E - 3 Bed - 3 Bath A,3,3,"$1,189 - $1,214",0,0,3,"1,485",https://www.theblockwestcampus.com//Brochure/25th-E---3-Bed---3-Bath-A?siteId=6511284&fId=9218429,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760058/640x640/67760058.png
25th E - 3 Bed - 3 Bath D,3,3,"$1,189 - $1,229",0,0,6,"1,485 - 1,497",https://www.theblockwestcampus.com//Brochure/25th-E---3-Bed---3-Bath-D?siteId=6511284&fId=9218430,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760083/640x640/67760083.png
Pearl N - 4 Bed - 4 Bath A Loft,4,4,"$1,189 - $1,204",0,0,4,"1,584",https://www.theblockwestcampus.com//Brochure/Pearl-N---4-Bed---4-Bath-A-Loft?siteId=6511284&fId=9218512,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760898/640x640/67760898.png
28th - 1 Bed - 1 Bath B,1,1,"$1,233 - $1,434",0,0,2,595 - 618,https://www.theblockwestcampus.com//Brochure/28th---1-Bed---1-Bath-B?siteId=6511284&fId=9218401,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67759880/640x640/67759880.png
Rio - 1 Bed - 1 Bath A,1,1,"$1,233",0,0,1,505,https://www.theblockwestcampus.com//Brochure/Rio---1-Bed---1-Bath-A?siteId=6511284&fId=9218533,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760984/640x640/67760984.png
25th E - 2 Bed - 2 Bath E Loft ,2,2,"$1,294 - $1,399",0,0,3,"1,270",https://www.theblockwestcampus.com//Brochure/25th-E---2-Bed---2-Bath-E-Loft-?siteId=6511284&fId=9218427,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760022/640x640/67760022.png
25th W - 2 Bed - 2 Bath C Loft,2,2,"$1,309",0,0,2,"1,056",https://www.theblockwestcampus.com//Brochure/25th-W---2-Bed---2-Bath-C-Loft?siteId=6511284&fId=9218457,block_on_pearl,https://capi.myleasestar.com/v2/dimg/67760318/640x640/67760318.png
